cheese;Käse:Emmentaler;0;
Monday;Montag;0;2018-07-02
Tuesday;Dienstag;0;2018-07-02
Wednesday;Mittwoch;0;
Thursday;Donnerstag;0;2018-07-02
Friday;Freitag;0;2018-07-02
Sunday;Sonntag;0;2018-07-02
surprise;Überraschung;0;2018-05-14
Cooking Club;Koch-AG;0;2018-07-02
club;Klub:Verein:AG;0;
by the car;mit dem Auto;0;2018-07-02
sit down;sich hinsetzen:sich setzen;0;
to have breakfast;frühstücken;0;2018-07-02
Time to get up!;Es ist Zeit aufzustehen!;0;
to tidy; aufräumen:in Ordnung bringen;0;
to tidy a room;ein Zimmer aufräumen:ein Zimmer in Ordnung bringen;0;
Is this how you do...?;Machst du so...?;0;2018-07-02
to sleep;schlafen;0;
to go to bed;ins Bett gehen;0;2018-07-02
What's the time?;Wie spät ist es?:Wie viel Uhr ist es?;0;2018-07-02
Saturday;Samstag;0;2018-07-02
It's ten o'clock.;Es ist zehn Uhr.;0;
It's five past ten.;Es ist fünf nach zehn.;0;2018-07-02
It's ten oh six.;Es ist sechs nach zehn.;0;2018-07-02
It's quarter past ten.;Es ist viertel nach zehn.;0;2018-07-02
It's half past ten.;Es ist halb elf.;0;2018-07-02
It's quarter to eleven.;Es ist viertel vor elf.;0;
It's nine minuites to elefen.;Es ist neun Minuiten vor elf.;0;2018-07-02
It's one o'clock a.m.;Es ist ein Uhr.;0;2018-07-02
It's one o'clock p.m.; Es ist 13 Uhr.;0;2018-07-02
every;jeder:jede:jedes;0;2018-07-02
to come;kommen;0;
home;nach Hause;0;2018-07-02
Let's go home now.;Lass uns nach Hause gehen.;0;
dinner;Abendessen;0;2018-07-02
at 7;um halb acht;0;2018-07-02
then;dann:danach;0;2018-07-02
never;nie:niemals;0;2018-07-02
morning;Morgen:Vormittags;0;2018-07-02
stepmum;Stiefmutter;0;2018-07-02
if;wenn:falls:ob;0;
till;bis;0;2018-07-02
after that;danach;0;2018-07-02
on Monday;montags;0;
netball;Korbball;0;
right away;sofort:gleich;0;
other;anders:andere;0;
often;oft:häufig;0;
in the evenings;abends;0;
evening;Abend;0;2018-07-02
sometimes;manchmal;0;2018-07-02
to find;finden:herausfinden;0;2018-07-02
usually;normalerweis:gewöhnlich:meistens;0;
long;lang;0;
I'm dog-tired.;Ich bin hundemüde.;0;
tired;müde;0;2018-07-02
afternoon;Nachmittag;0;2018-07-02
perfect;perfekt:vollkommen;0;2018-07-02
snore;schnarchen;0;2018-07-02
roommate;Zimmergenosse:Zimmergenossin;0;2018-07-02
coach;Trainer:Trainerin;0;2018-07-02
move;Bewegung;0;
bad;schlecht:böse:schlimm;0;2018-05-14
last;letzte:letzter:letztes;0;
tomorrow;morgen;0;2018-05-14
She gets on my nerves.;Sie geht mir auf die Nerven.;0;
granny;Oma;0;2018-07-02
to look after;aufpassen auf:hüten:sich kümmern um;0;2018-07-02
to ask;fragen:bitten;0;
to talk;sprechen;0;
to stop;aufhören:anhalten:stoppen;0;
to chat;plaudern:chatten:sich online unterhalten;0;
even;sogar:selbst;0;2018-07-02
friendly;freundlich:nett;0;2018-07-02
work;Arbeit;0;
vet;Tierarzt:Tierärztin;0;2018-07-02
neighbour;Nachbar:Nachbarin;0;
pet;Haustier;0;2018-07-02
to take;nehmen:mitnehmen:wegnehmen:bringen:mitbringen;0;2018-07-02
