mons;der Berg;0;
magnificus;großartig;2;2018-05-18
num?;etwa wirklich?;0;2018-07-03
apud;bei;0;
tres;drei;0;
unus;einer;0;
atque;und;0;
creare;erschaffen;1;2018-05-17
ita;so;0;
constat;es steht fest;0;
credere;glauben;0;2018-07-02
maxime;am meisten;0;2018-05-19
scire;wissen;0;
post;nach;1;2018-05-19
uxor;die Ehefrau;1;2018-05-18
dux;der Feldherr;0;2018-05-17
putare;glauben;0;
regere;lenken;0;2018-05-19
rogare;fragen;0;
denique;endlich;0;2018-07-02
morbus;die Krankheit;0;
depellere;wegstoßen;0;
facere;tun:machensuus:sua:suum;sein:ihr;
salus;die Gesundheit:das Wohlergehen:die Rettung:der Gruß;0;
accipere;annehmen:bekommen:empfangen;0;
bene;gut;0;
exercitus;das Heer;0;
miles;der Soldat;0;
propter;wegen;0;
vita;das Leben;1;2018-05-19
amittere;wegschicken;0;
domus;das Haus;0;
opperimere;unterdrücken:überfallen:bedrängen;1;2018-05-19
femina;die Frau;2;2018-05-19
capere;fassen:fangen:nehmen;0;2018-05-19
servitus;die Sklaverei;0;2018-05-19
iussu;auf Befehl;1;2018-05-19
postquam;nachdem;1;2018-05-17
redire;zurückkehren:zurückommen;0;
cultus;die Lebensweise:die Verehrung:die Pflege:die Bebauung;0;2018-05-18
crudelitas;die Grausamkeit;0;
factum;die Tat:die Handlung;0;
odium;der Hass;0;
patria;das Vaterland:die Heimat;1;2018-05-19
occupare;einnehmen:besetzen;0;
magistratus;das Amt:der Beamte;2;2018-05-19
provincia;der Amtsbereich:die Provinz;0;
oppidum;die befestigte Siedlung:die Stadt;0;2018-05-18
nuntiare;melden:verkünden;0;
tumultus;der Aufruhr:der Lärm:der Aufstand;0;
mos;der Brauch:die Gewohnheit:die Sitte;0;
neglegere;nicht beachten:vernachlässigen;0;2018-05-18
ira;der Zorn;2;2018-05-19
satis;ausreichend:genug;0;
scribere;schreiben;2;2018-05-19
mater;die Mutter;0;
mittere;schicken:senden:entlassen:loslassen:werfensalvus;wohlbehalten;
agere;treiben:tun;0;2018-05-19
labor;die Anstrengung:die Arbeit:die Mühe;0;
subire;auf sich nehmen;0;
antea;vorher;0;2018-05-19
tutus;sicher:geschützt;0;2018-05-18
merx;die Ware;0;
spoiliare;undefined;0;
iter;der Weg:die Reise;0;2018-05-19
monere;mahnen:erinnern;0;
tamen;dennoch:trotzdem;0;2018-05-18
constituere;festsetzen:beschließen;0;
aliquando;einst:mal;0;
oculus;das Auge;0;
primum;zuerst:zum ersten Mal;0;
robur;die Kraft:die Stärke;0;
beatus;glücklich;0;2018-07-02
gens;das Volk:der Stamm:die Sippe:das Geschlecht;0;
cognoscere;kennen lernen:erkennen;1;2018-05-19
finis;die Grenze;das Ende;
vicus;das Dorf;0;2018-07-29
vendere;verkaufen;0;2018-07-29
pauci;wenige;0;2018-05-17
annus;das Jahr;0;
hostis;der Feind;2;2018-05-18
gerere;tragen:ausführen;0;
bellum gerere;Krieg führen;0;2018-07-29
quomodo?;wie;0;2018-05-17
hodie;heutenubere|nubo|nupsi;einen Mann heiraten;
honestus;angesehen;0;
benignusbenigna;gütig;0;2018-07-03
in matrimonium dare;zur Frau geben;0;2018-07-03
auctoritas;das Ansehen;0;2018-07-02
auctoritatis;der Einfluss;0;2018-05-19
divitiae;der Einfluss;0;
propinquus;benachbart;0;
propinquus;der Verwandte;0;2018-07-02
propinqua;die Verwandte;0;
princeps;der erste Mann;0;2018-07-29
principis;der Anführer;0;2018-05-18
qui;welcher;0;2018-05-17
iuvenis;jung;0;
inter;zwischen;0;
is;dieser;0;2018-05-18
demonstrare;zeigen;0;
in matrimonium ducere;heiraten;0;
repente;plötzlich;0;
aspicere;erblicken;0;
nox;die Nacht;0;
servus;Sklave:Diener;2;2018-05-15
stat;er steht;3;2018-05-14
exspectat;er erwartet;3;2018-05-15
subito;plötzlich;2;2018-05-16
intrat;er betritt;3;2018-05-14
avus;Großvater;4;2018-05-16
est;er ist;2;2018-05-15
gaudet;er freut sich;3;2018-05-14
et;und:auch;2;2018-05-16
et...et;sowohl...als auch;3;2018-05-14
ridet;er lacht;3;2018-05-14
salutat;er begrüßt:er grüßt;3;2018-05-14
valde;sehr;3;2018-05-18
amat;er liebt;3;2018-05-15
nunc;nun:jetzt;3;2018-05-14
puella;Mädchen;2;2018-05-16
appropinquat;er nähert sich:er kommt näher;3;2018-05-14
videt;er sieht;3;2018-05-14
tum;da:dann:darauf:damals;3;2018-05-14
autem;aber:jedoch;0;2018-05-16
cogitat;er denkt:er überlegt:er beabsichtigt;3;2018-05-16
quid;was;1;2018-07-29
portat;er trägt:er bringt;2;2018-05-18
ecce;sieh:schau:da;1;2018-07-29
donum;das Geschenk;3;2018-05-17
iterum;wiederum:zum zweiten mal:noch einmal;3;2018-05-14
cur;warum;3;2018-05-14
quis;wer;3;2018-05-14
iam;schon:deshalb;0;2018-05-17
discipulus;der Schüler:ein Schüler;3;2018-05-17
discipula;die Schülerin:eine Schülerin;2;2018-05-14
bonus;gut;3;2018-05-15
meus;mein;3;2018-05-16
magister;der Lehrer:ein Lehrer;2;2018-05-18
magistra;die Lehrerin;3;2018-05-14
magitrae;die Lehrerinnen;0;2018-07-29
noster;unser;0;2018-07-29
tuus;dein;3;2018-05-14
gratus;dankbar:willkommen:nett;0;2018-05-18
puer;der Junge:ein Junge;1;2018-05-14
pueri;die Kinder:Kinder;3;2018-05-14
ludus;die Schule:eine Schule:das Spiel:ein Spiel;3;2018-05-14
nam;denn:nämlich;3;2018-05-14
nos;wir;3;2018-05-14
laudat;er lobt;3;2018-05-14
laudo;ich lobe;3;2018-05-17
libenter;gern;2;2018-05-15
vos;ihr;3;2018-05-15
miser;unglücklich:elend;3;2018-05-14
vester;euer;2;2018-05-14
tu;du;2;2018-07-29
hic;hier;3;2018-05-14
fabula;die Geschichte;3;2018-05-14
villa;das Landhaus;3;2018-05-18
ibi;dort;3;2018-05-14
alius;ein anderer;2;2018-05-15
alius... alius;der eine... der andere;4;2018-05-16
frumentum;das Getreide;3;2018-05-17
cibus;die Speise:das Futter;3;2018-05-14
apportare;bringen;3;2018-05-15
parere;bereiten;2;2018-05-15
vinum;Wein;3;2018-05-14
aqua;Wasser;4;2018-05-16
saepe;oft;2;2018-05-14
durus;hart:streng;3;2018-05-18
placere;gefallen;3;2018-05-14
nonumquam;manchmal;3;2018-05-15
dare;geben;2;2018-05-18
liberi;die Kinder;2;2018-05-15
ubi?;wo?;3;2018-05-17
catulus;der Welpe:der junge Hund;2;2018-05-15
posse;können;4;2018-05-15
amicus;der Freund;3;2018-05-19
amica;die Freundin;3;2018-05-14
reperire;finden:wiederfinden;3;2018-05-14
tandem;endlich:schließlich;3;2018-05-14
cautus;vorsichtig;3;2018-05-15
captare;greifen:fassen;3;2018-05-14
tenere;fest halten;0;2018-05-17
obscurus;dunkel;3;2018-05-15
porta;die Tür;3;2018-05-16
apertus;offen;3;2018-05-14
aperire;öffnen;1;2018-05-15
clamare;schreien:laut rufen;2;2018-05-14
timere;fürchten:Angst haben vor;1;2018-07-29
vir;der Mann;3;2018-05-19
immortalis;unsterblich;3;2018-05-18
frux;die Frucht;0;2018-07-02
maximus;der größte:der bedeutenste;3;2018-05-19
insula;die Insel;2;2018-05-09
descendere;hinabsteigen:herabsteigen;0;2018-05-09
flos;die Blume:die Blüte;2;2018-05-09
colligere;sammeln;0;2018-07-03
manus;die Hand:die Schar;2;2018-05-09
terra;die Erde:das Land;2;2018-05-09
rex;der König;2;2018-05-09
regina;die Königin;3;2018-05-18
inferi;die Unterwelt;3;2018-05-17
armor;die Liebe;2;2018-05-09
vehemens;heftig;2;2018-05-09
vivere;leben;1;2018-05-18
sibi;hier;2;2018-05-09
rapere;rauben:reißen:entführen;2;2018-05-09
observare;beobachten:beachten;2;2018-05-07
taurus;der Stier;3;2018-05-17
incredibilis;unglaublich;2;2018-05-07
forma;die Gestalt:die Erscheinung:die Schönheit;2;2018-05-07
corpus;der Körper;3;2018-05-19
color;die Farbe;0;2018-07-29
umquam;jemals;2;2018-05-07
vultus;das Gesicht:die Miene:der Ausdruck;1;2018-05-17
sinere;lassen:zulassen;2;2018-05-07
